tcode, rate_1, rate_2, convex_coefficient, r_score
1, 0.2718806142000899, 9.670595487593081e-15, 0.2109890611600651, 0.974207129325756
2, 8.122845641815301, 0.01976883864946374, 0.1187466341533081, 0.8300171049437769
3, 0.22188844487769344, 4.884067764291921e-19, 0.24489475042044598, 0.9548485081258888
4, 0.3530333876841416, 8.307048090197794e-16, 0.31371886233165835, 0.9124245567450198
5, 0.05740539693611056, 1.9785799282979315e-17, 0.2832159694875021, 0.966883378621353
6, 0.1241933066455689, 0.00061044983934011, 0.286155609169424, 0.9785665939732973
7, 0.11271317889513796, 0.0009785410730386193, 0.21712915271446606, 0.9615536633918774
8, 0.02085883666897835, 0.00010957721938403366, 0.4469056702828939, 0.9839900733893807
