tcode, birth_rate, delta, n_crit, r_score
1, 0.13152419914939817, 1.2955812607164103, 4.0, 0.978595373093955
1, 0.13492091427684222, 2.163686270645995, 5.0, 0.9860714412629431
1, 0.13785692477989014, 5.263966256252324, 6.0, 0.941201226521817
1, 0.1410053147818783, 100.0, 7.0, 0.8414141849556197
1, 0.14480131965866627, 100.0, 8.0, 0.7151339139982757
1, 0.14742536685691782, 100.0, 9.0, 0.5422902423091116
1, 0.14881072303540058, 9.0, 10.0, 0.42754428549832335
1, 0.14881072303540058, 9.0, 11.0, 0.42754428549832335
2, 0.09060032283163727, 1.9714282952280735, 2.4999999486991276, 0.7731706336766316
2, 0.11465914927051035, 4.504633932225763, 3.5, -0.2508642023120222
2, 0.11465932539144207, 4.504211303495778, 4.4999999140926965, -0.2508642060147006
2, 0.1238458987585283, 9.0, 5.5, -1.683922654946151
2, 0.1238458987585283, 9.0, 6.5, -1.683922654946151
3, 0.041590806616514576, 0.9310139386753469, 3.0, 0.9138634526195626
3, 0.043364991691964255, 1.135815965059223, 4.0, 0.9476923841088328
3, 0.04449097730957279, 1.5616342076146554, 5.0, 0.9766750495480644
3, 0.04545631130546166, 2.34809437678729, 6.0, 0.9760093427255515
3, 0.04637950497295459, 4.012164180747056, 7.0, 0.9457002295543284
3, 0.047101141369896266, 17.81680843178616, 8.0, 0.9067449672274673
4, 0.02745068792539569, 1.924538882945525, 2.4999999601783647, 0.785728497406574
4, 0.035032806256211774, 2.6429582723126126, 3.5, 0.9416606661866678
4, 0.03667452412464451, 4.397298288717143, 4.50000000154425, 0.9451007238188832
4, 0.038122295783317627, 9.749233451074264, 5.5, 0.8672950594390093
4, 0.03812229599991889, 9.749229908570115, 6.49999983742561, 0.8672950594389685
5, 0.029624530174189343, 2.175484333647656, 15.0, 0.9139924980236175
5, 0.02984889156869252, 2.284362599159947, 16.0, 0.920008934992561
5, 0.03005337527722322, 2.4120296359371176, 17.0, 0.9267772988956433
5, 0.03024130982023938, 2.561195440456598, 18.0, 0.9339699814753973
5, 0.030417169358481398, 2.73205631733082, 19.0, 0.941119793752825
5, 0.03058144637768465, 2.931363840898374, 20.0, 0.9484641670338937
5, 0.03073422417355717, 3.1696114905488635, 21.0, 0.9559690294388855
5, 0.030880732968385994, 3.44578306596386, 22.0, 0.9627695652966743
5, 0.031020643925675034, 3.773537998251415, 23.0, 0.9690176433985951
5, 0.031155259167505233, 4.165846326312946, 24.0, 0.9744744765677809
5, 0.0312857555711623, 4.64022321444293, 25.0, 0.9788867270717927
5, 0.03141321542758798, 5.220696847390766, 26.0, 0.981984329115895
5, 0.03153899963037184, 5.936984079355382, 27.0, 0.9835405585094947
5, 0.031662777974556744, 6.848878546330311, 28.0, 0.9837318515933825
5, 0.03178385956838064, 8.065358054188614, 29.0, 0.9826733478300969
5, 0.03190372584360769, 9.735761924609909, 30.0, 0.9800766563778947
5, 0.03202213691227783, 12.184788174276484, 31.0, 0.9760842040945372
5, 0.03213889776308083, 16.14253966949218, 32.0, 0.9708283115713107
5, 0.03225385245216697, 23.66396523337908, 33.0, 0.9644321565523931
5, 0.032366873091746885, 43.63170314608646, 34.0, 0.9570107111510417
5, 0.03249665374753093, 100.0, 35.0, 0.94863235413528
5, 0.032661206707040875, 100.0, 36.0, 0.9388802536981622
5, 0.032820201722813504, 100.0, 37.0, 0.9277406328062675
5, 0.032973891326031686, 100.0, 38.0, 0.9153617024791274
5, 0.033122504922330355, 100.0, 39.0, 0.9018780788670839
5, 0.03326625468081933, 100.0, 40.0, 0.8874125803873483
5, 0.03340533683253177, 100.0, 41.0, 0.8720777673205109
5, 0.033539929541897426, 100.0, 42.0, 0.8559772673897883
5, 0.033670199685424174, 100.0, 43.0, 0.8392069227802474
5, 0.03379630056137045, 100.0, 44.0, 0.8218516958079615
6, 0.024287914695317252, 3.7858777412437354, 8.500000012775775, 0.9262818583272149
6, 0.02477684421625375, 4.070856058369256, 9.5, 0.9379210932098514
6, 0.02520738226715488, 4.419783590051222, 10.500000017069858, 0.9497020099597551
6, 0.025591790863068824, 4.850059752433306, 11.5, 0.9606487295968514
6, 0.025943390353603688, 5.36814571342452, 12.500000013016873, 0.9685710027803877
6, 0.02626862609866257, 5.998562057325626, 13.5, 0.9729546747894346
6, 0.026573304220405845, 6.769393108452855, 14.500000000069933, 0.9734181737600299
