tcode, birth_rate, delta, n_crit
1, 0.14477918770530981, 100.0, 7.999999826849757
2, 0.12384589875213174, 9.000000000000027, 5.000000024976217
3, 0.04531832009727901, 2.0547152152891015, 5.999999877785281
4, 0.036537682087889926, 3.8380844950386823, 4.9999999190989195
5, 0.03189765266235677, 9.460022092441728, 29.999999426504495
6, 0.02710923913638772, 8.8458258957862, 16.99999964716003
7, 0.012616745091243409, 2.077848055029992, 8.99999933191323
8, 0.015603965198228377, 2.660311485412413, 54.00000021755744
